uid,pid
415,27909
415,55938
415,90936
415,56858
415,9447
415,37979
415,14495
415,95062
415,27668
415,64219
415,81626
415,14809
415,46170
415,48856
415,95003
415,30715
415,50772
415,7102
415,568
415,36511
415,13598
415,39381
415,12045
415,54435
415,41769
415,86334
415,73769
415,68021
415,30942
415,81516
415,7545
415,47671
415,6856
415,59442
415,78203
415,11136
415,95617
415,81799
415,8961
415,30783
415,73284
415,58082
415,17049
415,67149
415,34279
415,41410
415,48444
415,20503
415,74206
415,64575
52,59815
52,70094
52,99568
52,89722
52,93319
52,7408
52,33440
52,48769
52,49552
52,58893
52,96319
52,67137
52,22034
52,81552
52,37678
52,24583
52,64988
52,28293
52,81377
52,79729
52,12968
52,10473
52,40316
52,91165
52,52276
52,23031
52,61715
52,9439
52,24736
52,46969
52,83742
52,52455
52,78595
52,60398
52,41442
52,32777
52,66017
52,28629
52,73579
52,93293
52,80286
52,75798
52,31575
52,25852
52,60974
52,78883
52,77175
52,72744
52,44603
52,27249
320,68258
320,37583
320,78831
320,34762
320,63387
320,94530
320,32317
320,85434
320,60144
320,42932
320,11663
320,96257
320,82585
320,83865
320,62848
320,71082
320,75103
320,13991
320,14900
320,87382
320,91049
320,89149
320,44829
320,56268
320,72338
320,30891
320,2709
320,67482
320,48425
320,73780
320,84222
320,41569
320,1155
320,47090
320,73028
320,40737
320,91259
320,34740
320,95797
320,24031
320,93017
320,19331
320,81218
320,52088
320,28125
320,13955
320,30189
320,59155
320,90115
320,86723
45,27962
45,47772
45,25958
45,26547
45,7575
45,34319
45,81506
45,84960
45,99412
45,63816
45,51047
45,36348
45,48986
45,11975
45,67427
45,16602
45,33906
45,33801
45,36110
45,64449
45,40746
45,84031
45,72159
45,6487
45,69745
45,21795
45,14994
45,29522
45,72278
45,68166
45,84092
45,79649
45,93000
45,25094
45,98472
45,99369
45,15777
45,29849
45,88132
45,90763
45,30285
45,52431
45,30233
45,19926
45,67684
45,32695
45,57487
45,15858
45,21695
45,67051
211,22659
211,52216
211,57811
211,89365
211,99436
211,46925
211,77778
211,10287
211,89928
211,2835
211,72224
211,95164
211,63933
211,72306
211,37607
211,91094
211,39091
211,52900
211,35693
211,67327
211,28683
211,73140
211,12116
211,75972
211,19360
211,79062
211,77263
211,96311
211,51328
211,10041
211,9910
